company_id,company_name,short_description,medical_relevance_score,side_job_fit_score,career_shift_fit_score,hybrid_fit_score,industry,work_style,risk_level,learning_growth_score,target_background,note_for_coach,raw_medical_keywords,raw_medical_domains,raw_total_medical_score
1,PHC,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,100,90,30,60,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,,"医療,患者,臨床,介護,ヘルスケア,医療機器,診断,検査","医療機器メーカー,介護・福祉",117
481,医学書院,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,100,90,30,60,介護・福祉,,35,80,介護職;看護師;福祉系経験者,,"医療,患者,臨床,看護,介護,医療機器,診断,検査","医療機器メーカー,介護・福祉",117
492,医療情報科学研究所,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,100,90,30,60,介護・福祉,,35,80,介護職;看護師;福祉系経験者,,"医療,患者,臨床,看護,介護,医療機器,診断,検査","医療機器メーカー,介護・福祉",117
80,MICIN,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,99,90,30,60,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,,"医療,患者,臨床,医療機器,診断,オンライン診療,医療データ","医療機器メーカー,医療データ・AI",108
296,扶桑薬品工業,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,99,90,30,60,介護・福祉,,35,80,介護職;看護師;福祉系経験者,,"医療,患者,臨床,看護,介護,診断",介護・福祉,90
307,スズケン,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,99,90,30,60,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,,"医療,介護,ヘルスケア,医療機器,診断","医療機器メーカー,介護・福祉",90
438,PTOT人材バンク,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,99,90,30,60,介護・福祉,,35,80,介護職;看護師;福祉系経験者,,"医療,臨床,看護,介護,診断,検査",介護・福祉,90
465,日経メディカル,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,99,90,30,60,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,,"医療,臨床,介護,医療機器,診断,検査,オンライン診療","医療機器メーカー,介護・福祉",108
488,医歯薬出版,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,99,90,30,60,介護・福祉,,35,80,介護職;看護師;福祉系経験者,,"医療,患者,臨床,看護,介護,診断,検査",介護・福祉,99
7,富士フイルムメディカル,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,98,90,30,60,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,,"医療,臨床,ヘルスケア,診断,検査,画像診断",,81
22,朝日インテック,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,98,90,30,60,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,,"医療,臨床,ヘルスケア,医療機器,検査",医療機器メーカー,81
84,ドクターメイト,医療×IT領域でシステムやデータサービスを提供し、医療現場の業務効率化を支援しています。,98,90,30,60,医療IT・医療データ,,20,80,ITエンジニア;医療現場経験者;データサイエンティスト,,"医療,看護,介護,医療情報,オンライン診療",介護・福祉,81
429,メドフィット,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,98,90,30,60,介護・福祉,,35,80,介護職;看護師;福祉系経験者,,"医療,臨床,看護,介護,検査",介護・福祉,81
437,コメディカルドットコム,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,98,90,30,60,介護・福祉,,35,80,介護職;看護師;福祉系経験者,,"医療,臨床,看護,介護,検査",介護・福祉,81
464,m3.com,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,98,90,30,60,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,,"医療,臨床,看護,診断,検査,医療情報",,81
635,富士フイルム（医療）,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,98,90,30,60,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,,"医療,臨床,ヘルスケア,診断,検査,画像診断",,81
47,日本医療機器開発機構,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,97,90,30,60,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,,"医療,ヘルスケア,検査,医療データ",医療データ・AI,72
59,日本医療機器技術開発機構,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,97,90,30,60,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,,"医療,ヘルスケア,検査,医療データ",医療データ・AI,72
87,JMDC,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,97,90,30,60,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,,"医療,ヘルスケア,検査,医療データ",医療データ・AI,72
88,レイヤード,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,97,90,30,60,介護・福祉,,35,80,介護職;看護師;福祉系経験者,,"医療,患者,介護,医療SaaS",介護・福祉,72
