company_id,company_name,short_description,medical_relevance_score,side_job_fit_score,career_shift_fit_score,hybrid_fit_score,industry,work_style,risk_level,learning_growth_score,target_background,note_for_coach
1,PHC,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,117,90,30,60,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,
481,医学書院,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,117,90,30,60,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,
492,医療情報科学研究所,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,117,90,30,60,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,
80,MICIN,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,108,90,30,60,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,
465,日経メディカル,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,108,90,30,60,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,
488,医歯薬出版,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,99,90,30,60,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,
296,扶桑薬品工業,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,90,90,30,60,介護・福祉,,35,80,介護職;看護師;福祉系経験者,
307,スズケン,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,90,90,30,60,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,
438,PTOT人材バンク,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,90,90,30,60,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,
7,富士フイルムメディカル,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,81,75,40,57,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,
22,朝日インテック,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,81,75,40,57,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,
84,ドクターメイト,医療×IT領域でシステムやデータサービスを提供し、医療現場の業務効率化を支援しています。,81,75,40,57,医療IT・医療データ,,20,80,ITエンジニア;医療現場経験者;データサイエンティスト,
429,メドフィット,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,81,75,40,57,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,
437,コメディカルドットコム,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,81,75,40,57,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,
464,m3.com,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,81,75,40,57,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,
