company_name,official_url,recruit_page,medical_keywords,medical_keyword_count,medical_domains,medical_domain_scores,total_medical_score
PHC,https://www.phchd.com/jp,https://www.phchd.com/jp/job,"医療,患者,臨床,介護,ヘルスケア,医療機器,診断,検査",8,"医療機器メーカー,介護・福祉","{'医療機器メーカー': 1, '介護・福祉': 1}",117
ウィーメックス,https://www.wemex.com/,,,0,,{},12
Ubie,https://ubie.life/,,,0,,{},12
メドレー,https://www.medley.jp/,https://www.medley.jp/team/,"医療,オンライン診療",2,,{},30
エムスリー,https://corporate.m3.com/,,,0,,{},12
オリンパス,https://www.olympus.co.jp/,,,0,,{},12
富士フイルムメディカル,https://www.fujifilm.com/jp/ja/healthcare,https://www.fujifilm.com/jp/ja/about/careers,"医療,臨床,ヘルスケア,診断,検査,画像診断",6,,{},81
GEヘルスケア,https://www.gehealthcare.co.jp/,https://www.gehealthcare.co.jp/company/recruit,,1,,{},18
シーメンスヘルスケア,https://www.siemens-healthineers.com/jp,https://www.siemens-healthineers.com/jp/careers,"医療,ヘルスケア,診断,画像診断",4,,{},63
日本光電,https://www.nihonkohden.co.jp/,https://www.nihonkohden.co.jp/ja/recruit.html,"医療,医療機器",2,医療機器メーカー,{'医療機器メーカー': 1},36
テルモ,https://www.terumo.co.jp/,https://www.terumo.co.jp/careers,,0,,{},12
島津製作所,https://www.shimadzu.co.jp/,,,0,,{},12
コニカミノルタ,https://www.konicaminolta.com/jp-ja/,,,0,,{},12
パナソニックヘルスケア,https://holdings.panasonic/jp/,,,1,,{},18
ホシザキ,https://www.hoshizaki.co.jp/,https://www.hoshizaki.co.jp/saiyou/,,0,,{},12
フクダ電子,https://www.fukuda.co.jp/,https://www.fukuda.co.jp/recruit/index.html,"医療,患者,医療機器",3,医療機器メーカー,{'医療機器メーカー': 1},42
アトムメディカル,https://www.atommedical.co.jp/,,,1,,{},18
ニプロ,https://www.nipro.co.jp/,https://www.nipro.co.jp/employ_entrance/,"医療,医療機器",2,医療機器メーカー,{'医療機器メーカー': 1},36
オムロンヘルスケア,https://www.healthcare.omron.co.jp/,,,1,,{},18
フィリップス,https://www.philips.co.jp/,https://www.careers.philips.com/jp/ja,"医療,医療機器",2,医療機器メーカー,{'医療機器メーカー': 1},36
メディキット,https://www.medikit.co.jp/,,,0,,{},12
朝日インテック,https://www.asahi-intecc.co.jp/,https://www.asahi-intecc.co.jp/recruit/,"医療,臨床,ヘルスケア,医療機器,検査",5,医療機器メーカー,{'医療機器メーカー': 1},81
日本メドトロニック,https://www.medtronic.com/jp-ja/index.html,https://www.medtronic.com/jp-ja/our-company/careers.html,"医療,患者,ヘルスケア",3,,{},36
ボストン・サイエンティフィック,https://www.bostonscientific.com/jp-JP/home.html,https://www.bostonscientific.com/jp-JP/careers.html,"医療,患者,医療機器",3,医療機器メーカー,{'医療機器メーカー': 1},42
ジョンソン・エンド・ジョンソン メディカル,https://www.jnj.co.jp/,https://www.careers.jnj.com/locations/asia-pacific/japan#earlycareer,,1,,{},18
泉工医科工業,https://www.senko.co.jp/,,,0,,{},12
